Disambiguation;Pcorrect;rBias;absBias;RT;Frequency;PhaseDur;Unclear;LowConf;HighConf;block_id;session_id;subject_id
0;NaN;65;15;0,875640809845199;2,5;29,9715981893323;0;88,75;11,25;2;2;41
0;NaN;33,75;16,25;0,767654904604223;6,25;13,6745416738829;27,5;46,25;26,25;3;2;41
0;NaN;78,75;28,75;0,699832479242789;11,25;11,8221303969033;0;15;85;4;2;41
0;NaN;72,5;22,5;0,779730315298865;7,5;12,844970652571;0;62,5;37,5;5;2;41
0,5;92,5;50;0;0,679106893092518;20;6,23051941990652;0;6,25;93,75;1;3;41
0;63,75;55;5;1,28823529411765;2,5;47,9513393329515;0;45;55;2;3;41
0,25;42,5;47,5;2,5;0,963025210084034;8,75;16,697341374867;0;68,75;31,25;3;3;41
0,1;46,25;45;5;0,734244573847973;6,25;16,4832728957021;0;41,25;58,75;4;3;41
1;90;58,75;8,75;0,679142743703742;8,75;12,8441087498977;0;0;100;5;3;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;41
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;41
1;96,25;32,5;17,5;0,72156862745098;6,25;17,9831076803411;0;11,25;88,75;1;1;42
1;100;43,75;6,25;0,496765200627647;21,25;6,96404660170073;0;0;100;2;1;42
1;100;68,75;18,75;0,473672705567155;18,75;7,49296153347546;0;0;100;3;1;42
1;96,25;58,75;8,75;0,531433574306999;8,75;16,2704307584039;0;0;100;4;1;42
1;100;41,25;8,75;0,525136967976348;17,5;8,24225768682301;0;0;100;5;1;42
0;NaN;51,25;1,25;0,643125904615866;7,5;15,8430624283308;0;1,25;98,75;1;2;42
0;NaN;31,25;18,75;0,899430359438758;6,25;7,70743577594471;45;11,25;43,75;2;2;42
0;NaN;13,75;36,25;0,832371382115692;1,25;8,11778536586769;47,5;2,5;50;3;2;42
0;NaN;26,25;23,75;0,467286749278967;2,5;23,07948824019;28,75;0;71,25;4;2;42
0;NaN;50;0;0,432290357710128;1,25;22,4800210131721;8,75;0;91,25;5;2;42
0,5;80;48,75;1,25;0,921287306629179;7,5;12,9868210693511;5;0;95;1;3;42
0,25;38,75;50;0;0,747058823529412;3,75;8,64507319705323;31,25;10;58,75;2;3;42
1;100;51,25;1,25;0,556120145339139;13,75;10,6255808749236;0;0;100;3;3;42
0,1;58,75;47,5;2,5;0,720916790991073;1,25;10,761806270756;28,75;12,5;58,75;4;3;42
0;45;45;5;0,595789159461366;6,25;12,3208302452818;5;21,25;73,75;5;3;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;4;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;4;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;4;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;4;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;4;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;5;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2;5;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;3;5;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;4;5;42
NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;5;5;42
1;98,75;55;5;0,677450980392157;15;9,616483207293;0;0;100;1;1;43
1;86,25;57,5;7,5;0,804480753971414;23,75;5,99469083052031;0;0;100;2;1;43
1;83,75;95;45;0,81300545577318;7,5;15,7360634301158;0;0;100;3;1;43
1;85;61,25;11,25;0,715321538149962;15;9,86626199189801;0;0;100;4;1;43
1;93,75;56,25;6,25;0,681038175557117;15;9,11692563808298;0;0;100;5;1;43
0;NaN;82,5;32,5;0,691950202565767;10;14,0483520425375;0;0;100;1;2;43
0;NaN;60;10;1,03686428089119;10;12,4874240378111;0;10;90;2;2;43
